0,2015,2,1,1.9,-0.4,0.7875,75,907.177044
1,2015,2,2,6.2,-3.9,1.7625,77.25,747.835779
2,2015,2,3,7.8,2,4.2375,72.75,740.097015
3,2015,2,4,8.5,-1.2,3.0375,65.875,760.081199
4,2015,2,5,7.9,-3.6,1.8625,55.375,676.920858
5,2015,2,6,10,-2.1,3.1125,58,765.011787
6,2015,2,7,8.7,-1.9,4.5875,63.125,723.454725
7,2015,2,8,3.8,-2.8,0,49,716.601938
8,2015,2,9,6.4,-5.6,0.1625,49.75,699.499721
9,2015,2,10,11.5,-2.8,4.35,52.875,694.458985
10,2015,2,11,14.7,1.7,7.3875,55.25,642.778262
11,2015,2,12,13.4,-2.2,5.5375,58.625,682.083471
12,2015,2,13,15.4,0.7,7.05,61.625,631.359841
13,2015,2,14,18.6,2.8,11.725,59.875,630.616652
14,2015,2,15,12.6,10.3,11.35,95.75,703.063098
15,2015,2,16,12.9,4.5,8.8625,90,650.607551
16,2015,2,17,15.4,0.9,7.625,71.875,822.021365
17,2015,2,18,9.1,2.2,5.4,69,1100.861964
18,2015,2,19,10.9,0.2,5.825,66,904.41794
19,2015,2,20,6.1,4.2,5.25,96.625,970.571592
20,2015,2,21,5.8,1.9,4.2125,91.875,967.570451
21,2015,2,22,7,-0.9,3.825,93.125,909.961857
22,2015,2,23,10.2,2.6,6.6,81.5,825.736318
23,2015,2,24,13.1,2.3,7.85,83.125,695.537915
24,2015,2,25,11.8,7.6,9.05,86.625,609.434939
25,2015,2,26,11.6,5.5,8.7625,58.75,598.759299
26,2015,2,27,6.8,1.9,4.9875,73.125,665.861703
27,2015,2,28,2.3,0.1,1.1625,91.625,806.13076
28,2015,3,1,11.1,-0.2,4.725,78.625,670.752821
29,2015,3,2,10.9,2.6,7.1625,75.875,612.692546
30,2015,3,3,10.9,5.2,8.4,54.5,625.005765
31,2015,3,4,4.8,0.3,2.35,52,708.729043
32,2015,3,5,5,1.1,3.0875,61.625,886.167615
33,2015,3,6,7.1,-0.3,3.9125,76,701.229072
34,2015,3,7,10.6,0.2,5.775,79.5,662.713954
35,2015,3,8,11.8,2.7,7.0625,81.25,603.376018
36,2015,3,9,11.9,2.7,6.2,79.5,569.031077
37,2015,3,10,7.1,-0.2,3.3125,51.625,638.102322
38,2015,3,11,12.5,-1.1,6.0125,60.25,586.608836
39,2015,3,12,17.4,1.9,9.875,69.125,548.823355
40,2015,3,13,18,5.8,11.6625,78.125,527.161229
41,2015,3,14,12.3,6.4,9.1375,75.125,568.886059
42,2015,3,15,13.8,4.3,9.8625,88.375,526.357655
43,2015,3,16,15.5,10.6,12.275,89.75,478.774816
44,2015,3,17,13.5,10.1,12.1,98.875,505.201714
45,2015,3,18,10.5,8,9.2625,96.25,534.730499
46,2015,3,19,12.9,7.6,10.325,89.375,517.994143
47,2015,3,20,17.2,7.6,12.4875,81.5,526.984777
48,2015,3,21,20.1,8.5,14.25,81.875,551.05217
49,2015,3,22,21.4,8.4,14.6875,74.25,531.979383
50,2015,3,23,14.1,7.9,10.525,74.875,463.842765
51,2015,3,24,16.5,6.1,10.7125,66.375,494.634555
52,2015,3,25,17.7,7.8,12.114286,56.428571,473.213281
53,2015,3,26,14.8,8.4,11.375,70.75,470.453965
54,2015,3,27,17.3,10.3,12.9,82.25,481.714974
55,2015,3,28,20.5,10.9,14.875,81.25,503.731638
56,2015,3,29,22.4,11.9,16.125,85,481.950194
57,2015,3,30,22.9,14.2,18.15,84.5,478.16236
58,2015,3,31,28.3,17,22.814286,81.857143,371.901914
59,2015,4,1,20.5,14,16.05,93.625,440.420069
60,2015,4,2,15.5,9.8,11.675,89.75,473.429123
61,2015,4,3,11.9,7,10.2375,85.625,456.896375
62,2015,4,4,10.7,8.7,9.825,92.875,504.107136
63,2015,4,5,11.3,10.4,10.9375,95.625,542.426792
64,2015,4,6,13,7.5,10.2875,87.25,532.323201
65,2015,4,7,7.3,3.9,5.6375,78.25,530.949763
